"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","6304021055","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","6336007047","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","6354024025","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","7148015015","Warehousing, Distribution, Storage","1990","4","100000"
"Existing","7315004052","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","7318024003","Warehousing, Distribution, Storage","1981","4","100000"
"Existing","7402021044","Warehousing, Distribution, Storage","2005","4","100000"
"Existing","8082033037","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","8208020036","Warehousing, Distribution, Storage","2002","4","100000"
"Existing","8242015040","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","8264003025","Warehousing, Distribution, Storage","1980","4","100000"
"Existing","8719006017","Warehousing, Distribution, Storage","2002","4","100000"
"Approved","Grape Warehouse Project","https://ceqanet.opr.ca.gov/2022080461","2027","4","100000"
"CEQA Review","Motor Avenue Industrial Project","https://ceqanet.opr.ca.gov/2020110167/4","2030","4","100000"
"Existing","302080034","warehouse/dry storage","2019","4","99000"
"Existing","283440015","warehouse/dry storage","2003","4","99000"
"Existing","763141006","light industrial","1980","4","99000"
"Existing","249050042","light industrial","1980","4","99000"
"Existing","249100061","light industrial","1980","4","99000"
"Existing","957330009","light industrial","2008","4","99000"
"Existing","119210029","light industrial","2002","4","99000"
"Existing","014107184","distribution warehouse","1980","4","99000"
"Existing","016421210","cold storage facility","2017","4","99000"
"Existing","020926109","storage warehouse","2003","4","99000"
"Existing","021021263","storage warehouse","2016","4","99000"
"Existing","020946111","storage warehouse","2001","4","99000"
"Existing","023607113","storage warehouse","1988","4","99000"
"Existing","023710138","improvements ass'd associated apn","2009","4","99000"
"Existing","023706103","light industrial","1980","4","99000"
"Existing","027650142","flex","1980","4","99000"
"Existing","029215736","storage warehouse","2021","4","99000"
"Existing","2836015905","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","2866009015","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","3128009096","Warehousing, Distribution, Storage","2009","4","99000"
"Existing","4149008018","Warehousing, Distribution, Storage","1985","4","99000"
"Existing","6303028015","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","7001015016","Warehousing, Distribution, Storage","1989","4","99000"
"Existing","7306013037","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","7315031025","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","7318021052","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","7319034025","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","7417002032","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","8002013010","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","8125013024","Warehousing, Distribution, Storage","1990","4","99000"
"Existing","8264019013","Warehousing, Distribution, Storage","1986","4","99000"
"Existing","8392016052","Warehousing, Distribution, Storage","1985","4","99000"
"Existing","8719021001","Warehousing, Distribution, Storage","1999","4","99000"
"Existing","8760009007","Warehousing, Distribution, Storage","1980","4","99000"
"Existing","8760029030","Warehousing, Distribution, Storage","1990","4","99000"
"Existing","144010050","warehouse/dry storage","2018","4","98000"
"Existing","257020027","warehouse/dry storage","2001","4","98000"
"Existing","314170024","light industrial","2024","4","98000"
"Existing","156020038","light industrial","2005","4","98000"
"Existing","603040007","light industrial","2008","4","98000"
"Existing","836121005","light industrial","1980","4","98000"
"Existing","249021002","light industrial","2008","4","98000"
"Existing","329020038","light industrial","2002","4","98000"
"Existing","102040027","light industrial","1990","4","98000"
"Existing","279140024","light industrial","2022","4","98000"
"Existing","012815116","light industrial","1980","4","98000"
"Existing","013101111","light industrial","1980","4","98000"
"Existing","021127519","distribution warehouse","1991","4","98000"
"Existing","020901214","light industrial","1980","4","98000"
"Existing","023620118","storage warehouse","2020","4","98000"
"Existing","023415101","light industrial","1980","4","98000"
"Existing","023405104","light industrial","1980","4","98000"
"Existing","023821117","light industrial","1994","4","98000"
"Existing","024020169","distribution warehouse","2021","4","98000"
"Existing","025217366","improvements ass'd associated apn","2015","4","98000"
"Existing","025407127","transit warehouse (truck terminal)","1984","4","98000"
"Existing","102033110","storage warehouse","1980","4","98000"
"Existing","110039102","distribution warehouse","2007","4","98000"
"Existing","116711110","light industrial","1980","4","98000"
"Existing","307113105","improvements ass'd associated apn","2021","4","98000"
"Existing","2205009079","Warehousing, Distribution, Storage","2001","4","98000"
"Existing","5442032007","Warehousing, Distribution, Storage","2001","4","98000"
"Existing","6129019061","Warehousing, Distribution, Storage","2000","4","98000"
"Existing","6131018031","Warehousing, Distribution, Storage","2022","4","98000"
"Existing","6308014039","Warehousing, Distribution, Storage","1980","4","98000"
"Existing","7113007019","Warehousing, Distribution, Storage","1980","4","98000"
"Existing","7306014053","Warehousing, Distribution, Storage","1980","4","98000"
"Existing","8009025069","Warehousing, Distribution, Storage","2003","4","98000"
"Existing","8168017031","Warehousing, Distribution, Storage","1985","4","98000"
"Existing","8264003008","Warehousing, Distribution, Storage","1980","4","98000"
"Existing","8532002028","Warehousing, Distribution, Storage","1983","4","98000"
"Existing","8605015023","Warehousing, Distribution, Storage","1985","4","98000"
"Existing","8535024010","Warehousing, Distribution, Storage","1992","4","98000"
"Existing","346-393-19","warehouse","1985","4","98000"
"Approved","Markham Street Warehouse Project","https://ceqanet.opr.ca.gov/2023030287","2027","4","98000"
"Existing","156030040","light industrial","2005","4","97000"
"Existing","603232037","light industrial","2022","4","97000"
"Existing","603232024","light industrial","1980","4","97000"
"Existing","666360017","light industrial","2024","4","97000"
"Existing","249130046","light industrial","1989","4","97000"
"Existing","263250056","light industrial","2005","4","97000"
"Existing","297230025","light industrial","2008","4","97000"
"Existing","107320014","light industrial","2004","4","97000"
"Existing","115670016","light industrial","1980","4","97000"
"Existing","011338405","storage warehouse","1990","4","97000"
"Existing","011346221","light industrial","1988","4","97000"
"Existing","013640180","improvements ass'd associated apn","2021","4","97000"
"Existing","016431133","distribution warehouse","1990","4","97000"
"Existing","022915128","light industrial","1980","4","97000"
"Existing","023013226","distribution warehouse","2024","4","97000"
"Existing","023514104","distribution warehouse","2022","4","97000"
"Existing","023615139","storage warehouse","1985","4","97000"
"Existing","023822123","distribution warehouse","2020","4","97000"
"Existing","023216105","light industrial","1985","4","97000"
"Existing","024017135","distribution warehouse","2018","4","97000"
"Existing","025804111","light industrial","1989","4","97000"
"Existing","025104249","light industrial","1980","4","97000"
"Existing","025817157","light industrial","1990","4","97000"
"Existing","028016216","distribution warehouse","2018","4","97000"
"Existing","046338163","storage warehouse","1981","4","97000"
"Existing","102033109","storage warehouse","1980","4","97000"
"Existing","102513354","distribution warehouse","2022","4","97000"
"Existing","105051105","light industrial","1980","4","97000"
"Existing","113351109","distribution warehouse","2020","4","97000"
"Existing","116711109","light industrial","1984","4","97000"
"Existing","309126123","storage warehouse","1991","4","97000"
"Existing","2205009086","Warehousing, Distribution, Storage","2001","4","97000"
"Existing","3006003049","Warehousing, Distribution, Storage","1991","4","97000"
"Existing","4129035019","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","5224027009","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","5242021003","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","5447009017","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","6132005017","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","6302017050","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","7315019008","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","7318009093","Warehousing, Distribution, Storage","1999","4","97000"
"Existing","7347018075","Warehousing, Distribution, Storage","2008","4","97000"
"Existing","8168007026","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","8208023048","Warehousing, Distribution, Storage","1980","4","97000"
"Existing","8327019015","Warehousing, Distribution, Storage","2009","4","97000"
"Existing","8760025066","Warehousing, Distribution, Storage","1997","4","97000"
"Existing","279530037","warehouse/dry storage","1980","4","96000"
"Existing","171101076","warehouse/dry storage","1987","4","96000"
